app_id;prompt;boundary;nonresponsive;overlap;all;dimensions
47926;ref_instruction;0;2;0;6;0
49794;instruction;0;0;0;5;0
49794;pd_zs;1;0;0;5;0
49794;pd_fs;0;2;0;5;0
49794;ref_instruction;0;0;0;5;0
53054;instruction;0;0;1;5;0
53054;pd_zs;0;2;0;5;0
53054;pd_fs;0;2;0;4;0
53054;ref_instruction;0;2;0;4;0
53469;instruction;0;1;0;3;0
53469;pd_zs;0;4;1;6;0
53469;pd_fs;0;0;0;3;0
53469;ref_instruction;1;1;0;4;0
54377;instruction;0;0;0;19;0
54377;pd_zs;0;3;1;8;0
54377;pd_fs;0;1;0;3;0
54377;ref_instruction;1;7;0;8;0
54468;instruction;0;2;0;5;0
54468;pd_zs;0;4;0;4;1
54468;pd_fs;0;0;1;3;0
54468;ref_instruction;0;3;0;3;0
56905;instruction;0;2;0;6;0
56905;pd_zs;2;3;0;18;0
56905;pd_fs;0;4;0;6;0
56905;ref_instruction;0;3;1;6;1
58124;instruction;0;0;0;8;0
58124;pd_zs;0;2;0;10;0
58124;pd_fs;0;1;0;8;0
58124;ref_instruction;0;0;0;8;0
59429;instruction;0;0;0;2;0
59429;pd_zs;0;0;0;2;0
59429;pd_fs;0;1;0;2;0
59429;ref_instruction;0;0;0;2;0
59576;instruction;0;0;0;2;0
59576;pd_zs;0;0;0;2;0
59576;pd_fs;0;0;0;2;0
59576;ref_instruction;0;0;0;2;0
61851;instruction;0;0;0;3;0
61851;pd_zs;1;0;0;4;0
61851;pd_fs;0;1;0;3;0
61851;ref_instruction;1;1;0;3;1
63575;instruction;0;1;0;9;0
63575;pd_zs;0;4;0;8;0
63575;pd_fs;0;7;1;9;0
63575;ref_instruction;0;8;0;10;1
64858;instruction;2;0;0;8;0
64858;pd_zs;0;0;0;9;0
64858;pd_fs;1;0;0;8;0
64858;ref_instruction;0;4;1;7;0
65592;instruction;0;5;0;7;0
65592;pd_zs;0;1;0;11;0
65592;pd_fs;0;5;0;8;0
65592;ref_instruction;1;4;1;7;0
67044;instruction;0;0;0;11;1
67044;pd_zs;1;7;1;12;0
67044;pd_fs;0;3;0;8;0
67044;ref_instruction;1;2;2;11;0
68368;instruction;0;3;0;3;0
68368;pd_zs;0;3;0;11;1
68368;pd_fs;0;2;0;5;0
68368;ref_instruction;0;1;0;7;0
69574;instruction;0;2;0;2;0
69574;pd_zs;0;0;0;2;0
69574;pd_fs;0;1;0;2;0
69574;ref_instruction;0;1;0;2;0
69587;instruction;0;3;0;5;0
69587;pd_zs;0;1;0;4;0
69587;pd_fs;0;5;0;5;0
69587;ref_instruction;1;2;0;4;0
70410;instruction;0;1;0;11;0
70410;pd_zs;0;10;3;11;0
70410;pd_fs;0;0;3;6;0
70410;ref_instruction;0;6;0;6;0
8640;instruction;0;0;0;5;0
8640;pd_zs;0;1;0;8;0
8640;pd_fs;0;1;0;5;0
8640;ref_instruction;1;2;0;2;0
